Fecha,Operador_logistíco,Sede,Nombre_Categoria,Nombre_Material,Cantidad_kg,Unnamed: 6,YEAR,MONTH
2017-06-28,Recuperar,Medellín,Plásticos,Plástico,329.0,0.0,2017,Jun
2017-06-28,Recuperar,Medellín,Vidrios,Vidrio,1143.0,0.0,2017,Jun
2017-07-28,Recuperar,Medellín,Metales,Aluminio,5.0,0.0,2017,Jul
2017-07-28,Recuperar,Medellín,Metales,Chatarra,2222.0,0.0,2017,Jul
2017-07-28,Recuperar,Medellín,Otros,Palos de Escoba,56.0,0.0,2017,Jul
2017-07-28,Recuperar,Medellín,Papeles y Cartones,Archivo,683.0,0.0,2017,Jul
2017-07-28,Recuperar,Medellín,Papeles y Cartones,Cartón,465.0,0.0,2017,Jul
2017-07-28,Recuperar,Medellín,Papeles y Cartones,Periódico,241.0,0.0,2017,Jul
2017-07-28,Recuperar,Medellín,Papeles y Cartones,Plega,200.0,0.0,2017,Jul
2017-07-28,Recuperar,Medellín,Plásticos,Pasta,332.0,0.0,2017,Jul
2017-07-28,Recuperar,Medellín,Plásticos,Plega,100.0,0.0,2017,Jul
2017-07-28,Recuperar,Medellín,Plásticos,Plástico,159.0,0.0,2017,Jul
2017-07-28,Recuperar,Medellín,Vidrios,Vidrio,288.0,0.0,2017,Jul
2017-08-28,Recuperar,Medellín,Metales,Aluminio,7.0,0.0,2017,Ago
2017-08-28,Recuperar,Medellín,Metales,Chatarra,1545.0,0.0,2017,Ago
2017-08-28,Recuperar,Medellín,Otros,Palos de Escoba,50.0,0.0,2017,Ago
2017-08-28,Recuperar,Medellín,Papeles y Cartones,Archivo,1563.0,0.0,2017,Ago
2017-08-28,Recuperar,Medellín,Papeles y Cartones,Cartón,693.0,0.0,2017,Ago
2017-08-28,Recuperar,Medellín,Papeles y Cartones,Periódico,258.0,0.0,2017,Ago
2017-08-28,Recuperar,Medellín,Papeles y Cartones,Plega,378.0,0.0,2017,Ago
2017-08-28,Recuperar,Medellín,Plásticos,Pasta,836.0,0.0,2017,Ago
2017-08-28,Recuperar,Medellín,Plásticos,Plega,286.0,0.0,2017,Ago
2017-08-28,Recuperar,Medellín,Plásticos,Plástico,260.0,0.0,2017,Ago
2017-08-28,Recuperar,Medellín,Vidrios,Vidrio,552.0,0.0,2017,Ago
2017-09-28,Recuperar,Medellín,Metales,Aluminio,110.0,0.0,2017,Sept
2017-09-28,Recuperar,Medellín,Metales,Chatarra,241.0,0.0,2017,Sept
2017-09-28,Recuperar,Medellín,Otros,Palos de Escoba,15.0,0.0,2017,Sept
2017-09-28,Recuperar,Medellín,Papeles y Cartones,Archivo,1211.0,0.0,2017,Sept
2017-09-28,Recuperar,Medellín,Papeles y Cartones,Cartón,1093.0,0.0,2017,Sept
2017-09-28,Recuperar,Medellín,Papeles y Cartones,Periódico,944.0,0.0,2017,Sept
2017-09-28,Recuperar,Medellín,Papeles y Cartones,Plega,480.0,0.0,2017,Sept
2017-09-28,Recuperar,Medellín,Plásticos,Pasta,1079.0,0.0,2017,Sept
2017-09-28,Recuperar,Medellín,Plásticos,Plega,454.0,0.0,2017,Sept
2017-09-28,Recuperar,Medellín,Plásticos,Plástico,423.0,0.0,2017,Sept
2017-09-28,Recuperar,Medellín,Vidrios,Vidrio,1727.0,0.0,2017,Sept
2017-10-28,Recuperar,Medellín,Metales,Aluminio,20.0,0.0,2017,Oct
2017-10-28,Recuperar,Medellín,Metales,Chatarra,76.0,0.0,2017,Oct
2017-10-28,Recuperar,Medellín,Otros,Palos de Escoba,40.0,0.0,2017,Oct
2017-10-28,Recuperar,Medellín,Papeles y Cartones,Archivo,1037.0,0.0,2017,Oct
2017-10-28,Recuperar,Medellín,Papeles y Cartones,Cartón,637.0,0.0,2017,Oct
2017-10-28,Recuperar,Medellín,Papeles y Cartones,Periódico,1069.0,0.0,2017,Oct
2017-10-28,Recuperar,Medellín,Papeles y Cartones,Plega,404.0,0.0,2017,Oct
2017-10-28,Recuperar,Medellín,Plásticos,Pasta,780.0,0.0,2017,Oct
2017-10-28,Recuperar,Medellín,Plásticos,Plega,329.0,0.0,2017,Oct
2017-10-28,Recuperar,Medellín,Plásticos,Plástico,273.0,0.0,2017,Oct
2017-10-28,Recuperar,Medellín,Vidrios,Vidrio,940.0,0.0,2017,Oct
2017-11-28,Recuperar,Medellín,Metales,Aluminio,29.0,0.0,2017,Nov
2017-11-28,Recuperar,Medellín,Metales,Chatarra,3737.0,0.0,2017,Nov
2017-11-28,Recuperar,Medellín,Otros,Palos de Escoba,85.0,0.0,2017,Nov
2017-11-28,Recuperar,Medellín,Papeles y Cartones,Archivo,1441.0,0.0,2017,Nov
2017-11-28,Recuperar,Medellín,Papeles y Cartones,Cartón,1051.0,0.0,2017,Nov
2017-11-28,Recuperar,Medellín,Papeles y Cartones,Periódico,441.0,0.0,2017,Nov
2017-11-28,Recuperar,Medellín,Papeles y Cartones,Plega,539.0,0.0,2017,Nov
2017-11-28,Recuperar,Medellín,Plásticos,Pasta,908.0,0.0,2017,Nov
2017-11-28,Recuperar,Medellín,Plásticos,Plega,500.0,0.0,2017,Nov
2017-11-28,Recuperar,Medellín,Plásticos,Plástico,324.0,0.0,2017,Nov
2017-11-28,Recuperar,Medellín,Vidrios,Vidrio,816.0,0.0,2017,Nov
2017-12-28,Recuperar,Medellín,Metales,Aluminio,2.0,0.0,2017,Dic
2017-12-28,Recuperar,Medellín,Metales,Chatarra,28.0,0.0,2017,Dic
2017-12-28,Recuperar,Medellín,Otros,Palos de Escoba,0.0,0.0,2017,Dic
2017-12-28,Recuperar,Medellín,Papeles y Cartones,Archivo,308.0,0.0,2017,Dic
2017-12-28,Recuperar,Medellín,Papeles y Cartones,Cartón,163.0,0.0,2017,Dic
2017-12-28,Recuperar,Medellín,Papeles y Cartones,Periódico,52.0,0.0,2017,Dic
2017-12-28,Recuperar,Medellín,Papeles y Cartones,Plega,72.0,0.0,2017,Dic
2017-12-28,Recuperar,Medellín,Plásticos,Pasta,196.0,0.0,2017,Dic
2017-12-28,Recuperar,Medellín,Plásticos,Plega,49.0,0.0,2017,Dic
2017-12-28,Recuperar,Medellín,Plásticos,Plástico,55.0,0.0,2017,Dic
2017-12-28,Recuperar,Medellín,Vidrios,Vidrio,111.0,0.0,2017,Dic
2018-01-28,Recuperar,Medellín,Metales,Aluminio,16.0,0.0,2018,Ene
2018-01-28,Recuperar,Medellín,Metales,Chatarra,286.0,0.0,2018,Ene
2018-01-28,Recuperar,Medellín,Otros,Palos de Escoba,91.0,0.0,2018,Ene
2018-01-28,Recuperar,Medellín,Papeles y Cartones,Archivo,2137.0,0.0,2018,Ene
