Fecha,Nombre_Material,Cantidad_kg,Nombre_Categoria,Operador_logistíco,Sede
2018-07-28,Palos de Escoba,58,Otros,Recuperar,
2018-07-28,Archivo,2034,Papeles y Cartones,Recuperar,
2018-07-28,Chatarra,1507,Metales,Recuperar,
2018-07-28,Aluminio,21,Metales,Recuperar,
2018-07-28,Plega,49,Papeles y Cartones,Recuperar,
2018-07-28,Plega,208,Papeles y Cartones,Recuperar,
2018-08-28,Chatarra,3477,Metales,Recuperar,
2018-08-28,Pasta,661,Plásticos,Recuperar,
2018-08-28,Cartón,896,Papeles y Cartones,Recuperar,
2018-08-28,Plega,64,Papeles y Cartones,Recuperar,
2018-08-28,Plega,263,Papeles y Cartones,Recuperar,
2018-08-28,Archivo,1645,Papeles y Cartones,Recuperar,
2018-08-28,Empaque de Fibra,13,Otros,Recuperar,
2018-08-28,Aluminio,12,Metales,Recuperar,
2018-08-28,Vidrio,710,Vidrios,Recuperar,
2018-08-28,Palos de Escoba,1,Otros,Recuperar,
2018-08-28,Plega,305,Plásticos,Recuperar,
2018-08-28,Periódico,430,Papeles y Cartones,Recuperar,
2018-08-28,Plástico,287,Plásticos,Recuperar,
2018-09-28,Archivo,759,Papeles y Cartones,Recuperar,
2018-09-28,Plega,92,Papeles y Cartones,Recuperar,
2018-09-28,Plástico,212,Plásticos,Recuperar,
2018-09-28,Aluminio,12,Metales,Recuperar,
2018-09-28,Pasta,547,Plásticos,Recuperar,
2018-09-28,Chatarra,134,Metales,Recuperar,
2018-09-28,Vidrio,640,Vidrios,Recuperar,
2018-09-28,Cartón,638,Papeles y Cartones,Recuperar,
2018-09-28,Periódico,232,Papeles y Cartones,Recuperar,
2018-09-28,Palos de Escoba,90,Otros,Recuperar,
2018-09-28,Plega,219,Papeles y Cartones,Recuperar,
2018-09-28,Plega,251,Plásticos,Recuperar,
2018-10-28,Plástico,273,Plásticos,Recuperar,
2018-10-28,Archivo,980,Papeles y Cartones,Recuperar,
2018-10-28,Periódico,397,Papeles y Cartones,Recuperar,
2018-10-28,Plega,359,Plásticos,Recuperar,
2018-10-28,Chatarra,487,Metales,Recuperar,
2018-10-28,Plega,108,Papeles y Cartones,Recuperar,
2018-10-28,Cartón,701,Papeles y Cartones,Recuperar,
2018-10-28,Plega,318,Papeles y Cartones,Recuperar,
2018-10-28,Pasta,680,Plásticos,Recuperar,
2018-10-28,Aluminio,61,Metales,Recuperar,
2018-10-28,Vidrio,1265,Vidrios,Recuperar,
2018-10-28,Palos de Escoba,75,Otros,Recuperar,
2018-11-28,Cartón,600,Papeles y Cartones,Recuperar,
2018-11-28,Palos de Escoba,42,Otros,Recuperar,
2018-11-28,Periódico,114,Papeles y Cartones,Recuperar,
2018-11-28,Plástico,161,Plásticos,Recuperar,
2018-11-28,Plega,35,Papeles y Cartones,Recuperar,
2018-11-28,Plega,176,Plásticos,Recuperar,
2018-11-28,Aluminio,13,Metales,Recuperar,
2018-11-28,Chatarra,693,Metales,Recuperar,
2018-11-28,Archivo,756,Papeles y Cartones,Recuperar,
2018-11-28,Pasta,295,Plásticos,Recuperar,
2018-11-28,Vidrio,343,Vidrios,Recuperar,
2018-11-28,Plega,139,Papeles y Cartones,Recuperar,
2018-12-28,Aluminio,10,Metales,Recuperar,
2018-12-28,Vidrio,344,Vidrios,Recuperar,
2018-12-28,Plega,58,Papeles y Cartones,Recuperar,
2018-12-28,Archivo,861,Papeles y Cartones,Recuperar,
2018-12-28,Plega,289,Papeles y Cartones,Recuperar,
2018-12-28,Cartón,956,Papeles y Cartones,Recuperar,
2018-12-28,Palos de Escoba,0,Otros,Recuperar,
2018-12-28,Plástico,197,Plásticos,Recuperar,
2018-12-28,Chatarra,116,Metales,Recuperar,
2018-12-28,Pasta,342,Plásticos,Recuperar,
2018-12-28,Periódico,877,Papeles y Cartones,Recuperar,
2018-12-28,Plega,142,Plásticos,Recuperar,
2019-01-28,Vidrio,377,Vidrios,Recuperar,
2019-01-28,Chatarra,3835,Metales,Recuperar,
2019-01-28,Plega,38,Papeles y Cartones,Recuperar,
2019-01-28,Pasta,494,Plásticos,Recuperar,
2019-01-28,Palos de Escoba,21,Otros,Recuperar,
2019-01-28,Aluminio,22,Metales,Recuperar,
2019-01-28,Cobre,0,Metales,Recuperar,
2019-01-28,Plega,166,Plásticos,Recuperar,
2019-01-28,Plástico,188,Plásticos,Recuperar,
2019-01-28,Cartón,771,Papeles y Cartones,Recuperar,
2019-01-28,Periódico,137,Papeles y Cartones,Recuperar,
2019-01-28,Plega,279,Papeles y Cartones,Recuperar,
2019-01-28,Archivo,1416,Papeles y Cartones,Recuperar,
2019-02-28,Chatarra,105,Metales,Recuperar,
2019-02-28,Periódico,308,Papeles y Cartones,Recuperar,
2019-02-28,Plega,395,Papeles y Cartones,Recuperar,
2019-02-28,Plega,114,Papeles y Cartones,Recuperar,
2019-02-28,Archivo,1931,Papeles y Cartones,Recuperar,
2019-02-28,Palos de Escoba,0,Otros,Recuperar,
2019-02-28,Pasta,852,Plásticos,Recuperar,
2019-02-28,Aluminio,16,Metales,Recuperar,
2019-02-28,Plega,443,Plásticos,Recuperar,
2019-02-28,Cobre,0,Metales,Recuperar,
2019-02-28,Plástico,222,Plásticos,Recuperar,
2019-02-28,Cartón,831,Papeles y Cartones,Recuperar,
2019-02-28,Vidrio,716,Vidrios,Recuperar,
2019-03-28,Plega,545,Plásticos,Recuperar,
2019-03-28,Plástico,322,Plásticos,Recuperar,
2019-03-28,Cartón,1250,Papeles y Cartones,Recuperar,
2019-03-28,Archivo,1996,Papeles y Cartones,Recuperar,
2019-03-28,Aluminio,30,Metales,Recuperar,
2019-03-28,Periódico,602,Papeles y Cartones,Recuperar,
2019-03-28,Vidrio,1006,Vidrios,Recuperar,
2019-03-28,Plega,541,Papeles y Cartones,Recuperar,
2019-03-28,Plega,121,Papeles y Cartones,Recuperar,
2019-03-28,Pasta,1290,Plásticos,Recuperar,
2019-03-28,Chatarra,419,Metales,Recuperar,
2019-03-28,Palos de Escoba,80,Otros,Recuperar,
2019-03-28,Cobre,0,Metales,Recuperar,
2019-04-28,Pasta,422,Plásticos,Recimed,
2019-04-28,Cartón,745,Papeles y Cartones,Recimed,
2019-04-28,Vidrio,340,Vidrios,Recimed,
2019-04-28,Aluminio,13,Metales,Recimed,
2019-04-28,Archivo,1005,Papeles y Cartones,Recimed,
2019-04-28,Plega,457,Papeles y Cartones,Recimed,
